id,accountid,pid,spid,target,amount,assetcode,assetissuer,memo,itype,qr,qrtype,status,txhash,created,payed,cb,paymemo,trust,sn,utype,assetname,assetlabel,platform,version,ip
1.20E+18,VCYQCCM5YPM5HSDR3HETTHZ5XCHPQUCIJ5PRXVPFI7LL625RXFEDS3DM,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,10,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/fkx08746bxt5hvszr9km67?t=1574654852871,1,-10,6e16ec9e3ac72eac2adaa3cbd16e099927807447d58a5580972a423913ee2131,13:57.5,34:40.1,,,-1,,0,HCT,HCT,,,
1.20E+18,VCJ3IOZ33HWYLGFNWQFJ3UBZ3JSH7MYWUJYXZBT52LKHOH332JOVUKFC,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,10,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/fkx01547iiyu0dz3h0rea6?t=1574660906568,1,-10,9397389fdf2c4ff15e2e3e45be5f31722ba29c18b17073466249ed128717def0,49:11.5,49:55.1,,,-1,,0,HCT,HCT,,,
1.20E+18,VCXT25H4K5KR7LFAVW7V33SBKBK5XMYMFSRCIJL52BM2WKQLZPRQDB66,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,0.01,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/fkx01653me0admlynwwfe93,1,-10,f7728f267e3e4a371627cadd9938705e38c9ad7f3e3e932be6e75fa2b1932a2c,29:16.7,29:54.8,,,-1,00000000-609e-adb7-609e-adb700000000,0,HCT,HCT,,,
1.20E+18,VCXT25H4K5KR7LFAVW7V33SBKBK5XMYMFSRCIJL52BM2WKQLZPRQDB66,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,0.02,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/fkx01653me0admlynwwfe93,1,2,5da248a581bc93f4fde1437cdefa7cf1320ded39addce77d5f2f07add6e2c034,30:35.5,30:51.8,,,-1,00000000-609e-adb7-609e-adb700000000,0,HCT,HCT,,,
1.20E+18,VCYQCCM5YPM5HSDR3HETTHZ5XCHPQUCIJ5PRXVPFI7LL625RXFEDS3DM,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,0.01,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/fkx08746bxt5hvszr9km67?t=1574663617935,1,-10,7731c2f1c75b6096e6ec7dc6296f1c7e67ff65f4d23c310a341c4fbb8f480060,33:50.3,34:26.7,,,-1,00000000-1dfe-6948-1dfe-694800000000,0,HCT,HCT,,,
1.20E+18,VCYQCCM5YPM5HSDR3HETTHZ5XCHPQUCIJ5PRXVPFI7LL625RXFEDS3DM,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,1,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/fkx08746bxt5hvszr9km67?t=1574663617935,1,-10,082f50321aeb513385841f5c998e53cf7c6cb430ef3077d3f0cfa1f5665c22c2,16:29.1,17:04.6,,,-1,00000000-1dfe-6948-1dfe-694800000000,0,HCT,HCT,,,
1.20E+18,VCYQCCM5YPM5HSDR3HETTHZ5XCHPQUCIJ5PRXVPFI7LL625RXFEDS3DM,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,0.02,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/fkx08746bxt5hvszr9km67?t=1574666179995,1,-10,3a191cf4d521fdea4a320dfb50853ec3c6782676d2479c6d9cc8d583d03a80a2,19:35.3,21:32.6,,,-1,ffffffff-a0da-336e-a0da-336e00000000,0,HCT,HCT,,,
1.20E+18,VCYQCCM5YPM5HSDR3HETTHZ5XCHPQUCIJ5PRXVPFI7LL625RXFEDS3DM,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,0.03,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/fkx08746bxt5hvszr9km67?t=1574666461937,1,-10,4bcbb9bb7caacd586eff63c4cdf4629bcc70ab5cc91cc1aaa4f12d4a537d6d27,22:03.0,,,https://qr.alipay.com/fkx08746bxt5hvszr9km67?t=1574666461937,-1,ffffffff-a0da-336e-a0da-336e00000000,0,HCT,HCT,,,
1.20E+18,VCYQCCM5YPM5HSDR3HETTHZ5XCHPQUCIJ5PRXVPFI7LL625RXFEDS3DM,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,0.04,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/fkx08746bxt5hvszr9km67?t=1574666887276,1,-10,46915b93719da86c0a38c85a5d72d9f375bfecf2287fd7d56dc532a9cccd9c3a,28:18.1,31:53.2,,,-1,ffffffff-a0da-336e-a0da-336e00000000,0,HCT,HCT,,,
1.20E+18,VCYQCCM5YPM5HSDR3HETTHZ5XCHPQUCIJ5PRXVPFI7LL625RXFEDS3DM,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,0.05,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/fkx08746bxt5hvszr9km67?t=1574667320808,1,-10,edeac4a481b781293587cae8f91d4ec125ccdb831b8267c1e7c9e7fc52f96ea2,37:01.0,37:39.1,,,-1,ffffffff-a0da-336e-a0da-336e00000000,0,HCT,HCT,,,
1.20E+18,VCYQCCM5YPM5HSDR3HETTHZ5XCHPQUCIJ5PRXVPFI7LL625RXFEDS3DM,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,0.06,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,HTTPS://QR.ALIPAY.COM/FKX08746BXT5HVSZR9KM67?t=1574668396591,1,2,67968aef40856955ab683a3d2a0ebfec1544b1aade742358b107eea557261c62,53:29.7,53:44.8,,,-1,ffffffff-a0da-336e-a0da-336e00000000,0,HCT,HCT,,,
